courseno,Course prefix,Course code,Course name,Program,Description,Credit hours,Lecture hours,Tutorial hours,Note(s),Credit restriction(s),Prerequisite(s),Laboratory hours,Experiential learning,Recommended,Cross-listed,Other hours,Prerequisite(s) with concurrency,Corequisite(s),Fee
551,HLSC,2201U,Introduction to Health Information Management,Health Science,"Introduces the basic principles of health information management as applied to a variety of health and social areas. Explores knowledge and skills in the field of health data collection, storage and process communication. Demonstrates the proper use of medical terminology.",3,3,,,,HLSC 1200U and (HLSC 1700U or HLSC 1701U or HLSC 1702U),,,,,,,,
552,HLSC,2202U,Comprehensive Anatomy and Physiology,Health Science,"This course will introduce and connect normal anatomy, physiology and biochemistry as scientific disciplines with particular emphasis on the application of relevant concepts to the clinic. Students with previous clinical experience, will enrich their practice by updating their knowledge and refreshing skills to apply and integrate basic concepts to clinical practice.",3,3,,"Enrolment in this course is limited to students registered in the Post-RPN, Post-RN or Fitness and Health Promotion degree completion programs.",HLSC 1201U,HLSC 0880U or BIOL 1010U,,,,,,,,
553,HLSC,2460U,Pathophysiology I,Health Science,"This course will be an introduction to human disease and focus on how alterations in homeostatic mechanisms disrupt the human body. It will initially concentrate on central concepts of pathophysiology such as how cells and tissues respond to pathogenic challenges, principles behind genetic disorders, alterations in immunity and inflammation, stress and disease, and cancer biology. These principles will be then applied to understanding the pathogenesis of common diseases affecting the neurologic, endocrine and reproductive systems. A good understanding of normal anatomy and physiology is an essential prerequisite.",3,3,,,HLSC 2462U,HLSC 1201U or HLSC 2202U,,,,,,,,
554,HLSC,2461U,Pathophysiology II,Health Science,"This course will build on the HLSC 2460U – Pathophysiology I course. The student will explore common disorders in specific systems including hematologic, cardiovascular, respiratory, urinary, gastrointestinal, musculoskeletal and integumentary. The course will finalize with a look at multi-organ dysfunction syndromes, including those associated with shock and burns. A good understanding of normal anatomy and physiology, and a solid pathophysiology background are essential prerequisites.",3,3,,,HLSC 2463U,HLSC 2460U,,,,,,,,
555,HLSC,2462U,Altered Physiology: Mechanisms of Disease I,Health Science,"This course is an introduction to how normal physiology becomes altered through the course of human disease and focuses on the biological mechanisms that drive those changes. It initially concentrates on central concepts of human disease, such as abnormal states in cell and tissue biology, the principles behind genetic disorders, immunity, inflammation, hypersensitivities, stress and disease and cancer. These principles become essential to understanding the pathogenesis of common diseases affecting the neurological, urinary, digestive,reproductive and hematologic systems. This course has multiple sections and delivery modes; please check MyOntarioTech for further details.",3,,1 (biweekly),,HLSC 2460U,HLSC 1201U or HLSC 2202U,,,,,,,,
556,HLSC,2463U,Altered Physiology: Mechanisms of Disease II,Health Science,"This course continues to build on the mechanisms of disease progression occurring in specific systems including cardiovascular, respiratory, endocrine musculo‐skeletal, and integumentary. A good understanding of normal anatomy and physiology, and a solid understanding of disease concepts from Altered Physiology I are essential prerequisites.",3,3,1 (biweekly),,HLSC 2461U,HLSC 2462U,,,,,,,,
557,HLSC,2465U,Anatomy and Physiology III: Cells and Tissues,Health Science,This course will examine the cellular and tissue level of human anatomy and physiology. The course will focus on both the common features of cells and the individual specializations that reflect their unique functions within the body. Tissues will be examined as groups of cells with common physiological roles important in the maintenance of homeostasis that is essential to human health. This course has multiple sections and delivery modes. Please check MyOntarioTech for further details.,3,3,,,,HLSC 1201U,3,,,,,,,
558,HLSC,2601U,Introduction to Health Services Management,Health Science,"This course provides an examination of key concepts of management and leadership theory as they apply to the health services sector. Major topics include management and leadership theory, basic functions of management, concepts of human resource management, human motivation theory, teams in health services delivery, and the relationship between ethics and law. This course has multiple sections and delivery modes; please check MyOntarioTech for further details.",3,,,,,HLSC 1700U or HLSC 1701U or HLSC 1702U,,,,,,,,
559,HLSC,2700U,Mathematical Reasoning in Health Sciences,Health Science,"In this course, we explore quantitative reasoning in the health sciences. It is designed as an introductory course to prepare students for upper division courses in statistics and research. In addition, this course will help students develop broader perspectives and appreciation of how and why to use mathematical reasoning and analyses in real-world problems related to healthcare and the health sciences. Students will learn technical writing and critical appraisal of research articles, with a special focus on the mathematical skills required to interpret research literature. Simulations of healthcare scenarios will be used to provide learning environments in which students develop quantitative reasoning skills.",3,3,,,,,,,,,,,,
560,HLSC,2802U,Introduction to the Canadian Healthcare System,Health Science,"Healthcare in Canada is publicly funded and privately delivered. The purpose of this course is to understand the evolution of Canada’s healthcare delivery and financing from a theoretical perspective, which examines the role of ideas, the perspective of key stakeholders and the legislative role of key federal initiatives. Key to the learning experience is the conceptualization of the role of public and private sector, impact of medical dominance and the biomedical model, citizen engagement, primary healthcare reform and the emergence of public health. This course has multiple sections and delivery modes; please check MyOntarioTech for further details.",3,,,,HLSC 2801U,HLSC 1300U or HLSC 1701U or HLSC 1702U,,,,,,,,
561,HLSC,2810U,Child and Adolescent Health,Health Science,"This course explores what it means to be a healthy child or adolescent in our society and how students studying in health sciences can influence children/adolescents towards wellness. Influences of global, regional, and local issues such as poverty, food insecurity, the impact of media and social media on child development, and emerging threats to child and adolescent health associated with issues such as bullying, addictions, and disordered eating will be examined. The experience of being a contemporary child or adolescent will be critically explored to enhance student understanding of health and wellness in the 0-18 age range. Theories from multiple perspectives and research based in lived experience will be utilized to enhance health science student advocacy and action with children and adolescents.",3,3,,,,24 credit hours,,,,,,,,
562,HLSC,2820U,Nutrition for Nursing Practice,Health Science,"This is an introductory nutrition course to provide nursing students with fundamental knowledge related to food and nutrition. Factors influencing eating behaviours and the identification of nutritional problems are explored. A focus includes individual and public health interventions that can be implemented to prevent and manage non-communicable diseases, the basic principles of clinical nutrition interventions for at-risk individuals related to malnutrition and nutrition support, and nutritional needs at critical stages of the life cycle. Emphasis is placed upon the identification and use of credible nutrition resources. This course has multiple sections and delivery modes; please check MyOntarioTech for further details.",3,3,,,HLSC 2825U,HLSC 1201U or HLSC 2202U,,,,,,,,
563,HLSC,2825U,Nutrition and Health,Health Science,"This course introduces the principles of food and nutrition as they relate to health and health promotion across the life cycle. Topics covered include dietary standards and guidelines, food sources of nutrients, energy balance, weight management, chronic disease prevention and management, and emerging topics in nutrition. Emphasis is placed upon the identification and use of credible nutrition resources. This course has multiple delivery modes. Please consult MyOntarioTech for details.",3,3,,,HLSC 2820U,HLSC 1201U or HLSC 2202U,,,,,,,,
564,HLSC,3230U,Organizational Behaviour in Health Care,Health Science,"Health care organizations have a unique culture from other organizations by virtue of their fundamental mission of providing necessary care, often life-saving, to the public they serve. In order to accomplish this, health care facilities often have organizational structures and practices unique to their industry. Coupled with technological change and continuous scrutiny by government, public and payers, health care presents a challenge to even the best of leaders. This course will delve into the various aspects that affect how a Canadian health care organization behaves. Explored within the course will be the contributing factors of an individual, leadership, groups, teams and external factors. Also examined will be strategies to successfully manage the response of a health care organization to its internal and external challenges.",3,3,,,,HLSC 2601U  and HLSC 2802U,,,,,,,,
565,HLSC,3421U,Issues in Women’s Health,Health Science,This course focuses on health issues across the lifespan that are significant to women as recipients and providers of health care in western and global contexts. Models of health and illness and women’s health movements will be explored. Students will be challenged to develop their skills in critical analysis to consider the implications of gender/sex and other social status variables on women’s health.,3,3,,,,54 credit hours,2,,,,,,,
566,HLSC,3462U,Advanced Pathophysiology,Health Science,"This course focuses on the development of skills by which future health professionals will be able to use pathophysiology in clinically significant ways. It does so by emphasizing the application and integration of important pathophysiological concepts into clinical case situations, published research studies, self-generated clinical questions and education.",3,,,,,A grade of at least B-minus in HLSC 2460U and HLSC 2461U or HLSC 2462U and HLSC 2463U,,,,,,,,
567,HLSC,3463U,Human Genetics in Society,Health Science,"We are living in the post-genomics era. The human genome has been sequenced and the analysis of its code to reveal the function of its genes in health and disease is making breathtaking progress. There is considerable new knowledge that must now be applied in the health professions, and an understanding of the exciting topics within the field of genetics is an essential component of health sciences education. This course will begin by covering the principles of human genetics and heredity while highlighting the issues of genetics in our society. The second half of the course will concentrate on understanding the genetic basis of human disease and the impacts of genomics on healthcare.",3,3,,,BIOL 2020U,HLSC 2462U  or HLSC 2460U,,,,,,,,
568,HLSC,3464U,Altered Physiology III: Cancer Biology,Health Science,"This course will challenge students to develop a comprehensive understanding of human cancers, including its natural history, the principles of the molecular and cellular mechanisms of carcinogenesis, existing treatment options and emerging strategies for cancer prevention, detection and therapy.",3,3,,,,HLSC 2463U and HLSC 2465U,2 (biweekly),,,,,,,
569,HLSC,3472U,Sports Injury Management,Health Science,"The purpose of this course is to provide students with experience in the management of athletic injuries. They will learn musculoskeletal assessment for prevention and management of injuries, emergency assessment and treatment as well as basic taping and support techniques. They will also learn about various therapeutic modalities such as ice, heat, ultrasound and interferential current, their theoretical basis, indications, contraindications and practical application in the management of athletic injuries. This course is a prerequisite to KINE 4492U or KINE 4493U the Athletic Therapy Internship.",3,3,,This course is restricted to students in the 2+2 Kinesiology program.,,HLSC 3470U,2,,,,,,,
570,HLSC,3473U,Prevention and Rehabilitation of Complex Chronic Conditions,Health Science,"This course takes an integrated approach to the identification, determinants, prevention and management of complex chronic conditions. Societal, health care, workplace, physical and psychosocial barriers to rehabilitation process are identified and evidence informed approaches to enhance return to activities of daily living, increase quality of life, and facilitate return-to-work, where appropriate, are discussed. The course addresses the role of psychosocial risk factors in the development of disability. In particular, the role of self-efficacy, graded-activities, goal-setting, problem-solving, and motivation is explored.",3,3,,,,HLSC 1811U or HLSC 1812U; HLSC 2030U ; PSYC 1000U,,,,,,,,
571,HLSC,3476U,Advanced Sport Injury Management,Health Science,"The purpose of this course is to provide students with an understanding of the mechanisms, management and prevention of injuries to the head, neck, torso, and pelvis, and advanced assessment of injuries to the extremities. Therapeutic modalities such as ice, heat, massage, and stretching ‐ their theoretical basis, indications, contraindications and practical application in the management of athletic injuries will be introduced. The lab will provide practical experience in the assessment, diagnosis and treatment of athletic injuries. Advanced taping and injury assessment techniques will be covered, using scenario‐based assessment and treatment. This course is a prerequisite to HLSC 4492U and HLSC 4493U the Athletic Therapy Internship.",3,,,,HLSC 3472U or KINE 3476U,HLSC 3475U,,,,,,,,
572,HLSC,3501U,Health Law,Health Science,This course introduces students to the legislation and practices that govern the health care system in Canada. It emphasizes the legal and ethical responsibilities that health care professionals have and examines the importance of documentation for both the provider and the client.,3,,,,HLSC 2501U,24 credit hours,,,,,,,,
573,HLSC,3601U,Interprofessional Health Care Teams,Health Science,"The use of well-organized cross-functional teams has led to dramatic improvements in innovation, productivity and levels of service for organizations in all sectors. The course will focus on the meaning and nature of purposeful relationships with an emphasis on interpreting and facilitating team interactions. Students will deal with issues such as empowerment, team building, motivation, diversity, conflict management, negotiation and change. This course has multiple sections and delivery modes; please check MyOntarioTech for further details.",3,,,,,HLSC 2030U or HLSC 2601U or NURS 2420U or NURS 0420U,,,,,,,,
574,HLSC,3630U,Health Finance,Health Science,"This course is designed to introduce students to the methods of funding health care institutions and budget preparation as a management tool. The major components to the course include financial management, factors included in budget preparation, techniques of preparing staffing patterns, as well as capital and operating (staff/supply) budgets, cost monitoring and variance analysis.",3,3,,,,HLSC 2601U,,,,,,,,
575,HLSC,3631U,Health Policy and Process,Health Science,"This course introduces policy concepts, elements, analytical processes and outcomes of healthy public policy. Knowledge on public policy analysis will be applied to Canadian health policy issues in the context of the World Health Organization’s definition of health and well-being. This course will not only assist in the development of critical thinking, application of evidence informed decision-making, and critiquing skills; but will also help to develop knowledge of Canada’s evolving health care system in response to economic, cultural, technological, political, ideological, and globalization factors and forces. This course has multiple sections and delivery modes. Please check MyOntarioTech for further details.",3,,,,,(HLSC 1811U or HLSC 1812U) and (HLSC 2801U or HLSC 2802U ) and HLSC 3820U,,,,,,,,
576,HLSC,3632U,Health Economics,Health Science,"This course will use health economic models and reasoning to study the most pressing issues confronting modern health and social systems. This course will cover models of the demand for health and healthcare, the supply of health and social services, healthcare provider behaviour, and resource allocation. This course will also cover tools for evaluating health and social interventions in terms of efficiency and equity. Students will use these models and tools to draw insights into complex policy issues concerning health and social systems.",3,3,,,,HLSC 3800U,,,,,,,,
577,HLSC,3710U,Ethics,Health Science,"In this course the student will examine theories related to the ethical foundations of health care practice. In particular, the student will examine the professional code of ethics for health professions and the role of the health disciplines in advocating for improved health care. Ethical decision-making will be explored. This course has multiple sections and delivery modes.  Please check MyOntarioTech for further details.",3,,,,HLSC 3711U and HLSC 3712U,24 credit hours,,,,,,,,
578,HLSC,3712U,Professional Ethics in Nursing,Health Science,"In this course, students will explore the history of ethics with particular emphasis on the theories that apply to ethics in health care. Ethical decision‐making will be discussed, and students will gain practical knowledge in the application of ethics to health care by examining special topics in biomedical ethics.",3,1.5,1.5,,"HLSC 3710U , HLSC 3711U",24 credit hours,1.5 (biweekly),,,,,,,
579,HLSC,3800U,Introduction to Statistics for Health Sciences,Health Science,"This course offers an introduction to critical appraisal skills in assessing evidence presented in health science, with a focus on real-life relevance. The application of statistical methods to the study of research questions will be explored in terms of both descriptive and inferential statistics. Topics to be included are: randomized experiments and observational studies, measurements, frequency distribution, measures of central tendency and variability, correlation and regression, sample survey, probability, confidence intervals construction and hypothesis testing. This course has multiple sections and delivery modes; please check MyOntarioTech for further details.",3,,,,STAT 2010U and STAT 2020U and STAT 2800U (for all BSc (Hons) students),24 credit hours,,,,,,,,
580,HLSC,3805U,Introduction to Epidemiology,Health Science,"This course offers an introduction to the fundamentals of epidemiology. The application of epidemiologic principles will be discussed using real-life examples and scientific literature in health science. Topics include historic development, basic concepts, key terminologies and health indicators, descriptive and analytic epidemiology, design strategies and statistical analysis in epidemiology. Other topics may be included if time permits. This course has multiple sections and delivery modes; please check MyOntarioTech for further details.",3,,,,,HLSC 3800U,,,,,,,,
581,HLSC,3820U,Public Health I,Health Science,"Public health is a holistic and evidence-informed discipline that seeks to promote, maintain and/or restore the health and well-being of individuals, families, communities or entire populations over the lifespan through primary health care initiatives and interventions. This course provides an overview of the primary health care approach in Canada and introduces students to current public health theory, practice mandates and challenges facing public health in Canada. An overview of the 36 core competencies deemed essential as outlined by the Public Health Agency of Canada (PHAC, 2007) will be highlighted. Additionally, the role of health care professionals and public health workers in achieving the major goal of primary health care in Canada to build community capacity with the objective of achieving sustainable health and well-being through primary health care initiatives will be critically examined. This course has multiple sections and delivery modes; please check MyOntarioTech for further details.",3,,,,NURS 3700U,HLSC 1811U or HLSC 1812U,,,,,,,,
582,HLSC,3821U,Public Health II,Health Science,"This course builds upon concepts and theories introduced in Public Health I and seeks to introduce students to the critical analysis and planning for evidence-informed primary health care initiatives to address a variety of current and emerging health care issues in Canada and abroad. Evidence-based public health practice refers to the incorporation of empirically-based observations and findings derived from research, public health care practice, clinical expertise, client preferences and other available resources to make informed decisions about public health care practice and the delivery of safe and cost-effective health care services in Canada. The role of health care professionals in achieving the major goal of primary health care in Canada to build community capacity to achieve sustainable health and well-being through primary health care initiatives will be critically examined. Topics include the role played by public health care professionals in meeting health care challenges such as childhood obesity, an aging population and chronic diseases, Indigenous health, the vulnerable and homeless, outbreaks, epidemics and pandemics, emergency and disaster planning and responses, and occupational and environmental health.",3,3,,,,HLSC 3820U,,,,,,,,
583,HLSC,3823U,Health and Indigenous People in Canada,Health Science,"This course offers an introduction to Indigenous Health in Canada. Topics include historic practices of health and epidemiological status across pre-European contact, early European contact and postmodern contact. The health status of Indigenous peoples in Canada will be discussed through the lens of social and political determinants of health. The course will also focus on promising health promotion and research practices with Indigenous communities. The intersection of Indigenous knowledge and Western knowledge will be explored through learning about worldview and cultural practices. This course will also encourage learners to critically appraise colonial practices along with power, privilege and racism. The course will culminate with an examination of the findings from the Truth and Reconciliation Commission of Canada.",3,3,,,,HLSC 1811U or HLSC 1812U and cumulative credits of 60 or more course credits OR NURS 2700U and NURS 2701U,,,,,,,,
584,HLSC,3824U,"Plagues, Pandemics, and People",Health Science,"This course considers the origins, antiquity and impact of plagues and pandemics on human societies from health, cultural, evolutionary, epidemiological and ecological perspectives. The course will start with an introduction to disease ecology followed by a focus on historic, contemporary, newly-emerging epidemics, while drawing parallels to the COVID-19 pandemic. The aim is to understand why “plagues” emerge and how their occurrence is intimately linked to human behavior. The main goal is to provide insight into the struggles of attaining disease control and the challenges of managing and forecasting emerging pandemics. This course has multiple delivery modes. Please consult MyOntarioTech for details.",3,3,,,,24 credit hours,,Yes,,,,,,
585,HLSC,3910U,Research Methods for Health Care Professionals: Theory and Application,Health Science,"This course will critically examine a variety of research theories and methodologies employed by both quantitative and qualitative allied health care researchers. The student will be able to critically examine, interpret, analyze and apply findings from published research reports from both human and nonhuman investigations conducted in a variety of laboratory, clinical and community-based research settings. The course will critically examine how published research reports are utilized as the basis for evidence-based practice. Students will have an opportunity to engage in hands-on quantitative and qualitative research experiences including formulating research questions, research design, data collection, database management and coding, interpretation of findings, and their implications for practice. This course has multiple sections and delivery modes. Please check MyOntarioTech for further details.",3,3,,,,HLSC 3800U,,,,,,,,
586,HLSC,4310U,Altered Physiology IV: Pharmacological Interactions,Health Science,"An overview of the mechanism of action of drugs and toxins that affect the human body in normal and altered states. The course will start on the cellular basis of drug action and cover the pharmacological basis of drug interactions in the human body. Topics will include drugs of the cardiovascular, respiratory, nervous, endocrine and urinary systems, as well as drugs that are used in treatment of chronic and multi-system conditions such as diabetes and obesity. Drugs used in treatment of mental health conditions and drugs of abuse will also be covered.",3,3,,Contact hours may consist of a variety of instructional methods.,BIOL 3020U,HLSC 2461U or HLSC 2463U or KINE 4412U,,,,,,,,
587,HLSC,4401U,Motor Behaviour and Developmental Disabilities,Health Science,"The purpose of this course is to provide the student with a thorough understanding of the factors that contribute to the motor behaviour characteristics of children with developmental disabilities. The emphasis will be placed on empirical literature in the pediatric disability domain to derive instructional and rehabilitation practices with this population. Application of this empirical knowledge to planning, assessing, prescribing, implementing and evaluating movement, rehabilitation, and sport skill programs for children with pediatric disabilities will be the focus.",3,3,,,KINE 4401U,HLSC 2401U and 60 credit hours,,,,,,,,
588,HLSC,4412U,"Exercise Rehabilitation I: Cardiac, Respiratory and Metabolic Conditions",Health Science,"This course will focus on exercise prescription and exercise modification for those with chronic conditions related to the cardiovascular, respiratory and metabolic systems. An emphasis will be placed on the role of exercise in primary and secondary prevention (pre-habilitation) and on the use of exercise as an adjunct treatment for rehabilitation. This course will cover relevant pathophysiology, pharmacology and exercise physiology of important cardiovascular, respiratory and metabolic conditions using problem-based learning, case studies and laboratory based assignments.",3,3,,,HLSC 4402U or KINE 4412U,HLSC 3480U and HLSC 3481U,2 (biweekly),,,,,,,
589,HLSC,4413U,Exercise Rehabilitation II: Integrated Case Studies,Health Science,"This course focuses on the role of exercise in a multi-component approach to rehabilitation. The risks and benefits of exercise, particularly with respect to sedentary individuals and/or those with medical considerations as well as the evidence for the role of exercise as a primary or adjunctive intervention for rehabilitation are considered. The course covers the psychology and physiology of chronic pain including the role of cognitive behavioural therapy, selection and assessment of appropriate rating scales and evaluation procedures and assessment of risk factors for exercise. The second part of the course integrates this information, along with relevant pathophysiology and exercise physiology using case study presentations of clients with neural and musculoskeletal conditions.",3,3,,,HLSC 4403U or KINE 4413U,HLSC 3480U and HLSC 3481U,1.5 (biweekly),,,,,,,
590,HLSC,4414U,Advanced Topics in Neuromuscular Physiology and Pathophysiology,Health Science,This course investigates advanced topics in neuromuscular physiology and pathology that are important for the control of human movement. There is a focus on the neurophysiology underlying human movement pathologies with a contextual integration of the principles of advanced neuroscience to neuromuscular rehabilitation.,3,3,1.5,,KINE 4414U,HLSC 3410U,,,,,,,,
591,HLSC,4460U,Selected Topics in Physical Activity and Health,Health Science,"Designed for senior students this course will investigate current topics in physical activity and health from multiple perspectives. A minimum of five topics will be selected for study and each will be addressed approaching the topic from a different perspective, including but not limited to: physiological, biomechanical, social, psychological and ethical.",3,3,,,KINE 4460U,84 credit hours or permission of the faculty,,,,,,,,
592,HLSC,4473U,Practical Human Anatomy I: Back and Lower Limbs,Health Science,"This course introduces the student to the gross and developmental structure of the human body and explores the functional relationships between these structures. In particular, the structure and function of the neuromuscular and skeletal systems as well as that of the joints are emphasized. Learners also determine the clinical significance of structures being studied at embryonic and gross anatomical levels. This course focuses on the back and lower limb regions. Learning methods in this course include on-line lectures, practical laboratories, and online learning components. Numerous clinical cases are used to demonstrate the interrelationships between the structure and function in health and disease. In addition, this course incorporates anatomical changes and processes that occur during embryonic development, growth and maturation to adulthood.",3,,1,,KINE 4473U,HLSC 3470U,2,,,,,,,
593,HLSC,4474U,"Practical Human Anatomy II: Head, Neck and Upper Limbs",Health Science,"This course introduces the student to the gross and developmental structure of the human body and explores the functional relationships between these structures. In particular, the structure and function of the neuromuscular and skeletal systems as well as that of the joints are emphasized. Learners also determine the clinical significance of structures being studied at embryonic and gross anatomical levels. This course focuses on the head, neck and upper limbs. Learning methods in this course include online lecture, laboratory and tutorial components. Numerous clinical cases are used to demonstrate the interrelationships between the structure and function in health and disease. In addition, this course incorporates anatomical changes and processes that occur during embryonic development, growth and maturation to adulthood.",3,,1,,KINE 4474U,HLSC 3470U,2,,,,,,,
594,HLSC,4475U,Occupational Ergonomics,Health Science,"This course examines a variety of topics in occupational and industrial ergonomics to better understand physical demands in the workplace and how people become injured at work. The course will provide students with the knowledge and skills required to understand, analyze and prevent work‐related musculoskeletal injuries. Topics include the biomechanical, physiological and psychophysical assessment of workplace tasks, mechanisms of work‐related injuries, workplace assessment for injury risk, pre‐employment screening and legislated guidelines. Special focus will be given to the low back and upper limb. Practical laboratory experiences will provide students with exposure to different workplace measurement, assessment and evaluation tools, including use of sophisticated digital human modeling software for proactive ergonomics analyses.",3,3,,,HLSC 4472U or KINE 4475U,HLSC 4471U,2 (biweekly),,,,,,,
595,HLSC,4476U,Clinical Biomechanics,Health Science,"This course builds on and applies concepts from Biomechanics and Ergonomics to provide students with an understanding of the mechanisms of injury. Topics in this course will include: The biomechanical considerations for procedures used in orthopedic surgery and implantable materials, investigating material properties of biological tissues to understand how injuries develop, investigating normal and clinical gait patterns (ankle, knee, hip injuries, cerebral palsy, etc.), the use of musculoskeletal computer modelling techniques to simulate surgical procedures and biomechanical outcomes.",3,3,,,HLSC 4472U or KINE 4476U,HLSC 4475U,2 (biweekly),,,,,,,
596,HLSC,4477U,Applied Techniques in Neuromechanics,Health Science,"The purpose of this course is to provide students with an opportunity to gain exposure to theoretical and practical applications of commonly used techniques in neuromechanics. The course will provide an overview of each of the techniques, and a discussion about the strengths and limitations of each technique, as well as what it can reveal about the underlying physiology being measured. Examples of techniques discussed include: electromyography, motion capture systems, eye tracking systems, transcranial magnetic stimulation (TMS), electroencephalography (EEG) and near infrared spectroscopy (NIRs). The first six weeks of laboratories will provide demonstrations of each technique. For the second half of the course, students will select one technique and design a small pilot project where they will collect data and write a “journal article” style report. This course is especially useful for those interested in the field of Neuromechanics or working in Clinical Neurophysiology in hospital settings.",3,3,,,KINE 4477U,,2,,,,,,HLSC 3410U or equivalent (concurrent),
597,HLSC,4482U,Advanced Exercise Assessment and Prescription,Health Science,"This course applies scientific interpretation of advanced fitness assessment for the prescription of accurate and progressive exercise programs. An emphasis will be placed on developing competency using advanced protocols for assessment of the major components of fitness related to health and performance. An emphasis will also be placed on developing an understanding of the role of assessment in the overall design of fitness and exercise programs. Healthy populations, specifically athletes (recreational and professional) will be the focus. This course will provide a basis for competencies associated with the CSEP Certified Exercise Physiologist (CSEP-CEP) designation.",3,3,,,KINE 4482U,HLSC 3480U,2,,,,,,,
598,HLSC,4490U,Kinesiology Internship I,Health Science,"The purpose of this course is to provide the student with practical experience in the kinesiology field. Examples of internships might be in fitness centres, hospitals, or working with sports teams as a strength and conditioning coach. Students may do a single semester (3 credits) or continue in HLSC 4491U – Kinesiology Internship II . Students will complete a minimum 100 hours in their placement position and be required to write a comprehensive report on the kinesiology knowledge that they utilized from their undergraduate courses in contributing to the internship placement, as well as how the placement helped them to integrate that knowledge for their own learning.",3,,,,KINE 4490U,HLSC 3020U and HLSC 3481U and permission of the course instructor.,,,,,100,,,
599,HLSC,4491U,Kinesiology Internship II,Health Science,"This course is a continuation of KINE 4490U for students who would like to expand on their placement experience and the application of kinesiology curriculum content to practice. The purpose of this course is to provide the student with practical experience in the kinesiology field. Students will complete a minimum 135 hours in their placement position and be required to write a comprehensive report on the kinesiology knowledge that they utilized from their undergraduate courses in contributing to the internship placement, as well as how the placement helped them to integrate that knowledge for their own learning.",3,,,Students choosing to take HLSC 4491U must do so immediately following KINE 4490U . Students may only enrol in one Internship course in each semester.,,KINE 4490U and permission of course instructor,,,,,,,,
600,HLSC,4492U,Athletic Therapy Internship I,Health Science,"The purpose of this course is to provide the student with practical experience in the athletic therapy field. Students will be provided with advanced first aid and athletic therapy training before being placed with a varsity team as a student therapist. Students must do a double semester placement for this choice (6 credits). Students will complete a minimum 135 hours per semester in their placement position and be required to write a comprehensive report on the kinesiology knowledge that they utilized from their undergraduate courses in contributing to the internship placement, as well as how the placement helped them to integrate that knowledge for their own learning.",3,,,Students continue in HLSC 4493U and will not receive a grade for HLSC 4492U until the subsequent course is complete. Students may only enrol in one Internship course in each semester.,HLSC 4494U  or KINE 4493U,(HLSC 3020U and HLSC 3472U and HLSC 3481U) or (HLSC 3476U or KINE 3476U ) and permission of the course instructor,,,,,,,HLSC 4482U,
601,HLSC,4493U,Athletic Therapy Internship II,Health Science,"The purpose of this course is to provide the student with practical experience in the athletic therapy field. Students will be provided with advanced first aid and athletic therapy training before being placed with a varsity team as a student therapist. Students must do a double semester placement for this choice (6 credits). Students will complete a minimum 135 hours per semester in their placement position and be required to write a comprehensive report on the kinesiology knowledge that they utilized from their undergraduate courses in contributing to the internship placement, as well as how the placement helped them to integrate that knowledge for their own learning.",3,,,Students are expected to take this course immediately after HLSC 4492U. Students may only enrol in one Internship course in each semester.,HLSC 4495U or KINE 4493U,HLSC 4492U and permission of course instructor,,,,,,,,
602,HLSC,4494U,Extended Athletic Therapy Internship I,Health Science,"The purpose of this course is to provide the student with practical experience in the athletic therapy field. Students will be provided with advanced first aid and athletic therapy training before being placed with a varsity team as a student therapist. Students will complete a minimum of 160 hours in a single semester in their placement position and be required to complete an academic component such as a series of article reviews on topics relevant to their team placement and the types of injuries commonly seen in that sport or compilation of research data related to their sport. There is also a component of knowledge synthesis where students keep a journal where they record observations of how knowledge gained from their undergraduate courses is applied in the internship placement, and how the placement helped them to integrate that knowledge for their own learning.",6,,,Students may only enrol in one Internship course in each semester.,HLSC 4492U or KINE 4494U,(HLSC 3020U and HLSC 3472U and HLSC 3481U ) or (HLSC 3476U or KINE 3476U ) and permission of course instructor.,,,,,,HLSC 4482U,HLSC 4482U,
603,HLSC,4495U,Extended Athletic Therapy Internship II,Health Science,"The purpose of this course is to provide the student with practical experience in the athletic therapy field. Students will be provided with advanced first aid and athletic therapy training before being placed with a varsity team as a student therapist. Students will complete a minimum of 160 hours in their placement position and be required to write a comprehensive report on the kinesiology knowledge that they utilized from their undergraduate courses in contributing to the internship placement, as well as how the placement helped them to integrate that knowledge for their own learning.",6,,,,HLSC 4493U or KINE 4495U,(HLSC 3020U and HLSC 3472U and HLSC 3481U and HLSC 4482U and permission of the course instructor) or (HLSC 4494U and permission of the course instructor),,,,,,,,
604,HLSC,4620U,Quality and Performance Management in Health Care,Health Science,"Quality is achieved through planning, directing and implementing the actions that are consistent with the concept of doing the right thing the first time. Students will learn the tools of quality management, quality assessment and quality assurance in a health care setting. Students will learn how to identify the quality principles, continuous improvement concepts, and to review and determine the cost of quality.",3,3,,,,HLSC 3800U,,,,,,,,
